
========================================================================
  SpongeBob (SHA3-512 chain, seed=00..3f)
========================================================================

  ── NIST SP 800-22 (1000000 bits) ──
  [PASS] nist::frequency                                   p = 0.712873  (n=1000000, S_n=-368, s_obs=0.3680)
  [PASS] nist::block_frequency                             p = 0.982350  (n=1000000, M=128, N=7812, χ²=7551.1875)
  [PASS] nist::runs                                        p = 0.431788  (n=1000000, V_n=500393, π=0.4998)
  [PASS] nist::longest_run                                 p = 0.764500  (n=1000000, M=10000, N=100, χ²=3.3447)
  [PASS] nist::matrix_rank                                 p = 0.164942  (N=976, F32=261, F31=593, F<30=122, χ²=3.6043)
  [PASS] nist::spectral                                    p = 0.165847  (n=1000000, N₀=475000.0, N₁=475151, T=1730.8184, d=1.3857)
  [PASS] nist::overlapping_template                        p = 0.810419  (n=1000000, m=9, N=968, ν=[370, 175, 128, 100, 70, 125], χ²=2.2717)
  [PASS] nist::universal                                   p = 0.816448  (n=1000000, L=7, Q=1280, K=141577, f_n=6.1969, μ=6.1963, σ=0.002770)
  [PASS] nist::linear_complexity                           p = 0.779456  (n=1000000, M=500, N=2000, χ²=3.2301)
  [FAIL] nist::approximate_entropy                         p = 0.004576  (n=1000000, m=10, ApEn=0.692574, χ²=1145.8070)
  [PASS] nist::cumulative_sums_forward                     p = 0.468157  (n=1000000, z=1189)
  [PASS] nist::cumulative_sums_backward                    p = 0.238935  (n=1000000, z=1557)
  [PASS] nist::non_overlapping_template                    p = 0.531552  (B=000000001, N=8, M=125000, χ²=7.0472)
  [PASS] nist::non_overlapping_template                    p = 0.884773  (B=000000011, N=8, M=125000, χ²=3.6801)
  [PASS] nist::non_overlapping_template                    p = 0.750784  (B=000000101, N=8, M=125000, χ²=5.0634)
  [PASS] nist::non_overlapping_template                    p = 0.980348  (B=000000111, N=8, M=125000, χ²=2.0214)
  [PASS] nist::non_overlapping_template                    p = 0.978681  (B=000001001, N=8, M=125000, χ²=2.0733)
  [PASS] nist::non_overlapping_template                    p = 0.402230  (B=000001011, N=8, M=125000, χ²=8.3266)
  [PASS] nist::non_overlapping_template                    p = 0.895039  (B=000001101, N=8, M=125000, χ²=3.5530)
  [PASS] nist::non_overlapping_template                    p = 0.916427  (B=000001111, N=8, M=125000, χ²=3.2681)
  [PASS] nist::non_overlapping_template                    p = 0.540232  (B=000010001, N=8, M=125000, χ²=6.9667)
  [PASS] nist::non_overlapping_template                    p = 0.382518  (B=000010011, N=8, M=125000, χ²=8.5406)
  [PASS] nist::non_overlapping_template                    p = 0.136717  (B=000010101, N=8, M=125000, χ²=12.3388)
  [PASS] nist::non_overlapping_template                    p = 0.324289  (B=000010111, N=8, M=125000, χ²=9.2174)
  [PASS] nist::non_overlapping_template                    p = 0.915598  (B=000011001, N=8, M=125000, χ²=3.2797)
  [PASS] nist::non_overlapping_template                    p = 0.743014  (B=000011011, N=8, M=125000, χ²=5.1354)
  [PASS] nist::non_overlapping_template                    p = 0.539660  (B=000011101, N=8, M=125000, χ²=6.9720)
  [PASS] nist::non_overlapping_template                    p = 0.904144  (B=000011111, N=8, M=125000, χ²=3.4354)
  [PASS] nist::non_overlapping_template                    p = 0.179429  (B=000100011, N=8, M=125000, χ²=11.4120)
  [PASS] nist::non_overlapping_template                    p = 0.961871  (B=000100101, N=8, M=125000, χ²=2.4970)
  [PASS] nist::non_overlapping_template                    p = 0.438931  (B=000100111, N=8, M=125000, χ²=7.9443)
  [PASS] nist::non_overlapping_template                    p = 0.123947  (B=000101001, N=8, M=125000, χ²=12.6639)
  [PASS] nist::non_overlapping_template                    p = 0.297231  (B=000101011, N=8, M=125000, χ²=9.5606)
  [PASS] nist::non_overlapping_template                    p = 0.648576  (B=000101101, N=8, M=125000, χ²=5.9880)
