
## RNG throughput benchmark (pilot-bench, preset=normal)

Throughput in MW/s (10⁶ u32 words/s).  CI is 95%.

| Generator                            |   MW/s   | ±CI 95%  | Runs  |
|--------------------------------------|----------|----------|-------|
| MT19937 (seed=19650218)              |    208.8 | ±6.117  |    50 |
| Xorshift64 (seed=1)                  |    643.9 | ±31.97  |   320 |
| Xorshift32 (seed=1)                  |    678.4 | ±36.32  |   201 |
| BAD Unix System V rand() (seed=1)    |    277.2 | ±17.89  |   111 |
| BAD Unix System V mrand48() (seed=1) |    522.9 | ±36.15  |    54 |
| BAD Unix BSD random() TYPE_3 (seed=1) |    171.9 | ±8.179  |    58 |
| BAD Unix Linux glibc rand()/random() (seed=1) |      172 | ±8.611  |    88 |
| BAD Unix FreeBSD12 rand_r() compat (seed=1) |    115.1 | ±6.15   |   110 |
| BAD Windows CRT rand() (seed=1)      |    285.7 | ±16.64  |   290 |
| BAD Windows VB6/VBA Rnd() (seed=1)   |    251.9 | ±14.94  |    50 |
| BAD Windows .NET Random(seed=1) compat |    136.1 | ±8.692  |    50 |
| ANSI C sample LCG (seed=1)           |    125.6 | ±6.222  |    57 |
| LCG MINSTD (seed=1)                  |    110.9 | ±4.837  |    57 |
| AES-128-CTR (NIST key)               |    52.16 | ±1.268  |   384 |
| cryptography::CtrDrbgAes256 (seed=00..2f) |   0.7516 | ±0.007658 |    50 |
| Constant (0xDEAD_DEAD)               |     6310 | ±161.8  |    50 |
| Counter (0,1,2,...)                  |     6297 | ±151.2  |    50 |

